Date,Account,Category,Subcategory,Note / Description,Amount (INR),Type
2024-01-01,HDFC Savings,Salary,,Monthly salary credit,95000,Income
2024-01-05,HDFC Savings,Rent,,House rent January,22000,Expense
2024-01-07,HDFC Savings,Groceries,Vegetables,BigBasket order,1800,Expense
2024-01-08,HDFC Savings,Utilities,Electricity,BESCOM bill Jan,1200,Expense
2024-01-10,HDFC Savings,Food Delivery,Lunch,Swiggy order,450,Expense
2024-01-11,HDFC Savings,Groceries,Dairy,Milk and curd,620,Expense
2024-01-13,HDFC Savings,Transport,Auto,Auto to office,180,Expense
2024-01-14,HDFC Savings,Entertainment,OTT,Netflix subscription,649,Expense
2024-01-15,HDFC Savings,Dining Out,Dinner,Weekend dinner with friends,1850,Expense
2024-01-17,HDFC Savings,Medical,Medicine,Pharmacy bills,540,Expense
2024-01-18,HDFC Savings,Shopping,Clothing,Winter jacket,3200,Expense
2024-01-20,HDFC Savings,Groceries,Vegetables,Zepto groceries,950,Expense
2024-01-22,HDFC Savings,Food Delivery,Dinner,Zomato order,680,Expense
2024-01-24,HDFC Savings,Investment,,Mutual Fund SIP,15000,Investment
2024-01-24,HDFC Savings,Investment,,PPF contribution,5000,Investment
2024-01-25,HDFC Savings,Utilities,Internet,ACT broadband,799,Expense
2024-01-26,HDFC Savings,Transport,Cab,Uber to airport,890,Expense
2024-01-28,HDFC Savings,Dining Out,Brunch,Cafe brunch,920,Expense
2024-01-30,HDFC Savings,Groceries,Staples,Monthly provision store,2800,Expense
2024-02-01,HDFC Savings,Salary,,Monthly salary credit,95000,Income
2024-02-03,HDFC Savings,Rent,,House rent February,22000,Expense
2024-02-05,HDFC Savings,Groceries,Vegetables,BigBasket order,1650,Expense
2024-02-06,HDFC Savings,Utilities,Electricity,BESCOM bill Feb,980,Expense
2024-02-08,HDFC Savings,Food Delivery,Lunch,Swiggy order,520,Expense
2024-02-10,HDFC Savings,Medical,Consultation,Doctor visit,500,Expense
2024-02-12,HDFC Savings,Groceries,Dairy,Milk and curd,590,Expense
2024-02-13,HDFC Savings,Entertainment,OTT,Netflix subscription,649,Expense
2024-02-15,HDFC Savings,Dining Out,Valentine dinner,Valentine dinner,3400,Expense
2024-02-16,HDFC Savings,Shopping,Gifts,Valentine gift,2100,Expense
2024-02-18,HDFC Savings,Transport,Monthly pass,Metro monthly pass,800,Expense
2024-02-20,HDFC Savings,Groceries,Vegetables,Zepto groceries,1100,Expense
2024-02-22,HDFC Savings,Food Delivery,Dinner,Zomato order,750,Expense
2024-02-24,HDFC Savings,Investment,,Mutual Fund SIP,15000,Investment
2024-02-26,HDFC Savings,Utilities,Internet,ACT broadband,799,Expense
2024-02-28,HDFC Savings,Groceries,Staples,Monthly provision store,2600,Expense
2024-03-01,HDFC Savings,Salary,,Monthly salary credit,95000,Income
2024-03-04,HDFC Savings,Rent,,House rent March,22000,Expense
2024-03-06,HDFC Savings,Groceries,Vegetables,BigBasket order,1950,Expense
2024-03-07,HDFC Savings,Utilities,Electricity,BESCOM bill Mar,1100,Expense
2024-03-09,HDFC Savings,Food Delivery,Lunch,Swiggy order,480,Expense
2024-03-10,HDFC Savings,Travel,Flight,Holi trip to Delhi,8500,Expense
2024-03-11,HDFC Savings,Travel,Hotel,Hotel in Delhi,4200,Expense
2024-03-12,HDFC Savings,Dining Out,Dinner,Restaurant in Delhi,2200,Expense
2024-03-14,HDFC Savings,Groceries,Dairy,Milk and curd,600,Expense
2024-03-15,HDFC Savings,Entertainment,OTT,Netflix subscription,649,Expense
2024-03-17,HDFC Savings,Shopping,Electronics,Bluetooth earphones,3500,Expense
2024-03-19,HDFC Savings,Groceries,Vegetables,Zepto groceries,1200,Expense
2024-03-21,HDFC Savings,Food Delivery,Dinner,Zomato order,620,Expense
2024-03-23,HDFC Savings,Medical,Medicine,Pharmacy,320,Expense
2024-03-24,HDFC Savings,Investment,,Mutual Fund SIP,15000,Investment
2024-03-26,HDFC Savings,Utilities,Internet,ACT broadband,799,Expense
2024-03-28,HDFC Savings,Transport,Cab,Uber rides,750,Expense
2024-03-30,HDFC Savings,Groceries,Staples,Monthly provision store,2900,Expense
2024-04-01,HDFC Savings,Salary,,Monthly salary credit,95000,Income
2024-04-03,HDFC Savings,Rent,,House rent April,22000,Expense
2024-04-05,HDFC Savings,Groceries,Vegetables,BigBasket order,1750,Expense
2024-04-07,HDFC Savings,Utilities,Electricity,BESCOM bill Apr,1350,Expense
2024-04-09,HDFC Savings,Food Delivery,Lunch,Swiggy order,550,Expense
2024-04-11,HDFC Savings,Groceries,Dairy,Milk and curd,610,Expense
2024-04-12,HDFC Savings,Entertainment,OTT,Netflix subscription,649,Expense
2024-04-13,HDFC Savings,Dining Out,Dinner,Weekend dinner,1600,Expense
2024-04-15,HDFC Savings,Insurance,Health,Annual health insurance premium,12000,Expense
2024-04-17,HDFC Savings,Groceries,Vegetables,Zepto groceries,980,Expense
2024-04-19,HDFC Savings,Food Delivery,Dinner,Zomato order,700,Expense
2024-04-20,HDFC Savings,Shopping,Clothing,Summer wardrobe,4800,Expense
2024-04-22,HDFC Savings,Medical,Consultation,Dentist visit,1200,Expense
2024-04-24,HDFC Savings,Investment,,Mutual Fund SIP,15000,Investment
2024-04-26,HDFC Savings,Utilities,Internet,ACT broadband,799,Expense
2024-04-28,HDFC Savings,Transport,Cab,Uber rides,640,Expense
2024-04-30,HDFC Savings,Groceries,Staples,Monthly provision store,2700,Expense
2024-05-01,HDFC Savings,Salary,,Monthly salary credit,95000,Income
2024-05-04,HDFC Savings,Rent,,House rent May,22000,Expense
2024-05-05,HDFC Savings,Groceries,Vegetables,BigBasket order,1600,Expense
2024-05-07,HDFC Savings,Utilities,Electricity,BESCOM bill May,1500,Expense
2024-05-09,HDFC Savings,Food Delivery,Lunch,Swiggy order,490,Expense
2024-05-10,HDFC Savings,Travel,Flight,Goa trip flight,11000,Expense
2024-05-11,HDFC Savings,Travel,Hotel,Goa resort,18000,Expense
2024-05-12,HDFC Savings,Travel,Food,Goa trip food,4500,Expense
2024-05-13,HDFC Savings,Dining Out,Dinner,Beach restaurant,2800,Expense
2024-05-15,HDFC Savings,Groceries,Dairy,Milk and curd,580,Expense
2024-05-16,HDFC Savings,Entertainment,OTT,Netflix subscription,649,Expense
2024-05-18,HDFC Savings,Shopping,Accessories,Sunglasses,2200,Expense
2024-05-20,HDFC Savings,Groceries,Vegetables,Zepto groceries,1050,Expense
2024-05-22,HDFC Savings,Food Delivery,Dinner,Zomato order,660,Expense
2024-05-24,HDFC Savings,Investment,,Mutual Fund SIP,15000,Investment
2024-05-26,HDFC Savings,Utilities,Internet,ACT broadband,799,Expense
2024-05-28,HDFC Savings,Transport,Cab,Uber rides,820,Expense
2024-05-30,HDFC Savings,Groceries,Staples,Monthly provision store,2650,Expense
2024-06-01,HDFC Savings,Salary,,Monthly salary credit,110000,Income
2024-06-01,HDFC Savings,Salary,,Bonus payout Q1,25000,Income
2024-06-04,HDFC Savings,Rent,,House rent June,22000,Expense
2024-06-06,HDFC Savings,Groceries,Vegetables,BigBasket order,1700,Expense
2024-06-07,HDFC Savings,Utilities,Electricity,BESCOM bill Jun,1450,Expense
2024-06-09,HDFC Savings,Food Delivery,Lunch,Swiggy order,530,Expense
2024-06-11,HDFC Savings,Groceries,Dairy,Milk and curd,600,Expense
2024-06-12,HDFC Savings,Entertainment,OTT,Netflix subscription,649,Expense
2024-06-13,HDFC Savings,Dining Out,Dinner,Birthday dinner,3200,Expense
2024-06-14,HDFC Savings,Shopping,Gadgets,Smart watch,18500,Expense
2024-06-17,HDFC Savings,Groceries,Vegetables,Zepto groceries,1000,Expense
2024-06-19,HDFC Savings,Food Delivery,Dinner,Zomato order,720,Expense
2024-06-21,HDFC Savings,Medical,Medicine,Pharmacy,280,Expense
2024-06-24,HDFC Savings,Investment,,Mutual Fund SIP,20000,Investment
2024-06-24,HDFC Savings,Investment,,ELSS Fund,10000,Investment
2024-06-26,HDFC Savings,Utilities,Internet,ACT broadband,799,Expense
2024-06-28,HDFC Savings,Transport,Cab,Uber rides,690,Expense
2024-06-30,HDFC Savings,Groceries,Staples,Monthly provision store,2750,Expense
2024-07-01,HDFC Savings,Salary,,Monthly salary credit,110000,Income
2024-07-04,HDFC Savings,Rent,,House rent July,22000,Expense
2024-07-06,HDFC Savings,Groceries,Vegetables,BigBasket order,1850,Expense
2024-07-07,HDFC Savings,Utilities,Electricity,BESCOM bill Jul,1600,Expense
2024-07-09,HDFC Savings,Food Delivery,Lunch,Swiggy order,560,Expense
2024-07-11,HDFC Savings,Groceries,Dairy,Milk and curd,620,Expense
2024-07-12,HDFC Savings,Entertainment,OTT,Netflix subscription,649,Expense
2024-07-13,HDFC Savings,Entertainment,Movies,Movie tickets,680,Expense
2024-07-15,HDFC Savings,Dining Out,Dinner,Weekend dinner,1800,Expense
2024-07-17,HDFC Savings,Shopping,Clothing,Monsoon clothing,2600,Expense
2024-07-19,HDFC Savings,Groceries,Vegetables,Zepto groceries,1100,Expense
2024-07-21,HDFC Savings,Food Delivery,Dinner,Zomato order,800,Expense
2024-07-22,HDFC Savings,Medical,Consultation,Annual health checkup,2500,Expense
2024-07-24,HDFC Savings,Investment,,Mutual Fund SIP,20000,Investment
2024-07-26,HDFC Savings,Utilities,Internet,ACT broadband,799,Expense
2024-07-28,HDFC Savings,Transport,Cab,Uber rides,710,Expense
2024-07-30,HDFC Savings,Groceries,Staples,Monthly provision store,3100,Expense
2024-08-01,HDFC Savings,Salary,,Monthly salary credit,110000,Income
2024-08-04,HDFC Savings,Rent,,House rent August,22000,Expense
2024-08-05,HDFC Savings,Groceries,Vegetables,BigBasket order,1900,Expense
2024-08-07,HDFC Savings,Utilities,Electricity,BESCOM bill Aug,1700,Expense
2024-08-09,HDFC Savings,Food Delivery,Lunch,Swiggy order,510,Expense
2024-08-11,HDFC Savings,Groceries,Dairy,Milk and curd,640,Expense
2024-08-12,HDFC Savings,Entertainment,OTT,Netflix subscription,649,Expense
2024-08-14,HDFC Savings,Dining Out,Dinner,Independence day celebration,2400,Expense
2024-08-15,HDFC Savings,Shopping,Electronics,Laptop stand and accessories,4500,Expense
2024-08-17,HDFC Savings,Groceries,Vegetables,Zepto groceries,1150,Expense
2024-08-19,HDFC Savings,Food Delivery,Dinner,Zomato order,740,Expense
2024-08-21,HDFC Savings,Medical,Medicine,Pharmacy,460,Expense
2024-08-24,HDFC Savings,Investment,,Mutual Fund SIP,20000,Investment
2024-08-24,HDFC Savings,Investment,,NPS contribution,5000,Investment
2024-08-26,HDFC Savings,Utilities,Internet,ACT broadband,799,Expense
2024-08-28,HDFC Savings,Transport,Cab,Uber rides,780,Expense
2024-08-30,HDFC Savings,Groceries,Staples,Monthly provision store,2950,Expense
2024-09-01,HDFC Savings,Salary,,Monthly salary credit,110000,Income
2024-09-04,HDFC Savings,Rent,,House rent September,22000,Expense
2024-09-06,HDFC Savings,Groceries,Vegetables,BigBasket order,1700,Expense
2024-09-07,HDFC Savings,Utilities,Electricity,BESCOM bill Sep,1200,Expense
2024-09-09,HDFC Savings,Food Delivery,Lunch,Swiggy order,480,Expense
2024-09-10,HDFC Savings,Travel,Flight,Durga Puja trip,14000,Expense
2024-09-11,HDFC Savings,Travel,Hotel,Hotel Kolkata,8500,Expense
2024-09-13,HDFC Savings,Dining Out,Festive dinner,Festive restaurant,3800,Expense
2024-09-15,HDFC Savings,Groceries,Dairy,Milk and curd,590,Expense
2024-09-16,HDFC Savings,Entertainment,OTT,Netflix subscription,649,Expense
2024-09-17,HDFC Savings,Shopping,Clothing,Festive clothing,6500,Expense
2024-09-19,HDFC Savings,Groceries,Vegetables,Zepto groceries,1050,Expense
2024-09-21,HDFC Savings,Food Delivery,Dinner,Zomato order,690,Expense
2024-09-24,HDFC Savings,Investment,,Mutual Fund SIP,20000,Investment
2024-09-26,HDFC Savings,Utilities,Internet,ACT broadband,799,Expense
2024-09-28,HDFC Savings,Transport,Cab,Uber rides,850,Expense
2024-09-30,HDFC Savings,Groceries,Staples,Monthly provision store,2800,Expense
2024-10-01,HDFC Savings,Salary,,Monthly salary credit,110000,Income
2024-10-01,HDFC Savings,Salary,,Diwali bonus,30000,Income
2024-10-04,HDFC Savings,Rent,,House rent October,22000,Expense
2024-10-05,HDFC Savings,Shopping,Gadgets,New smartphone,55000,Expense
2024-10-06,HDFC Savings,Groceries,Vegetables,BigBasket order,1950,Expense
2024-10-07,HDFC Savings,Utilities,Electricity,BESCOM bill Oct,1300,Expense
2024-10-09,HDFC Savings,Food Delivery,Lunch,Swiggy order,520,Expense
2024-10-11,HDFC Savings,Groceries,Dairy,Milk and curd,610,Expense
2024-10-12,HDFC Savings,Entertainment,OTT,Netflix subscription,649,Expense
2024-10-13,HDFC Savings,Dining Out,Diwali dinner,Diwali family dinner,5600,Expense
2024-10-15,HDFC Savings,Shopping,Gifts,Diwali gifts for family,8200,Expense
2024-10-17,HDFC Savings,Shopping,Clothing,Diwali new clothes,4500,Expense
2024-10-19,HDFC Savings,Groceries,Vegetables,Zepto groceries,1100,Expense
2024-10-21,HDFC Savings,Food Delivery,Dinner,Zomato order,760,Expense
2024-10-23,HDFC Savings,Medical,Medicine,Pharmacy,280,Expense
2024-10-24,HDFC Savings,Investment,,Mutual Fund SIP,20000,Investment
2024-10-24,HDFC Savings,Investment,,Diwali investment NPS,10000,Investment
2024-10-26,HDFC Savings,Utilities,Internet,ACT broadband,799,Expense
2024-10-28,HDFC Savings,Transport,Cab,Uber rides,920,Expense
2024-10-30,HDFC Savings,Groceries,Staples,Monthly provision store,3200,Expense
2024-11-01,HDFC Savings,Salary,,Monthly salary credit,110000,Income
2024-11-04,HDFC Savings,Rent,,House rent November,22000,Expense
2024-11-06,HDFC Savings,Groceries,Vegetables,BigBasket order,1800,Expense
2024-11-07,HDFC Savings,Utilities,Electricity,BESCOM bill Nov,1100,Expense
2024-11-09,HDFC Savings,Food Delivery,Lunch,Swiggy order,470,Expense
2024-11-11,HDFC Savings,Groceries,Dairy,Milk and curd,600,Expense
2024-11-12,HDFC Savings,Entertainment,OTT,Netflix subscription,649,Expense
2024-11-13,HDFC Savings,Dining Out,Dinner,Weekend dinner,1900,Expense
2024-11-15,HDFC Savings,Medical,Consultation,Doctor visit,600,Expense
2024-11-17,HDFC Savings,Groceries,Vegetables,Zepto groceries,980,Expense
2024-11-19,HDFC Savings,Food Delivery,Dinner,Zomato order,680,Expense
2024-11-20,HDFC Savings,Shopping,Clothing,Winter wear,3800,Expense
2024-11-24,HDFC Savings,Investment,,Mutual Fund SIP,20000,Investment
2024-11-26,HDFC Savings,Utilities,Internet,ACT broadband,799,Expense
2024-11-28,HDFC Savings,Transport,Cab,Uber rides,670,Expense
2024-11-30,HDFC Savings,Groceries,Staples,Monthly provision store,2850,Expense
2024-12-01,HDFC Savings,Salary,,Monthly salary credit,110000,Income
2024-12-04,HDFC Savings,Rent,,House rent December,22000,Expense
2024-12-06,HDFC Savings,Groceries,Vegetables,BigBasket order,1850,Expense
2024-12-07,HDFC Savings,Utilities,Electricity,BESCOM bill Dec,1400,Expense
2024-12-09,HDFC Savings,Food Delivery,Lunch,Swiggy order,500,Expense
2024-12-10,HDFC Savings,Travel,Flight,Year-end trip flight,16000,Expense
2024-12-11,HDFC Savings,Travel,Hotel,New Year resort,22000,Expense
2024-12-12,HDFC Savings,Travel,Food,Trip food and activities,6500,Expense
2024-12-13,HDFC Savings,Dining Out,Dinner,New Year eve dinner,4200,Expense
2024-12-15,HDFC Savings,Groceries,Dairy,Milk and curd,610,Expense
2024-12-16,HDFC Savings,Entertainment,OTT,Netflix subscription,649,Expense
2024-12-17,HDFC Savings,Shopping,Gifts,Christmas and NY gifts,9500,Expense
2024-12-18,HDFC Savings,Shopping,Clothing,Year-end sale clothing,5200,Expense
2024-12-19,HDFC Savings,Groceries,Vegetables,Zepto groceries,1200,Expense
2024-12-21,HDFC Savings,Food Delivery,Dinner,Zomato order,780,Expense
2024-12-23,HDFC Savings,Medical,Medicine,Pharmacy,380,Expense
2024-12-24,HDFC Savings,Investment,,Mutual Fund SIP,20000,Investment
2024-12-24,HDFC Savings,Investment,,Year-end ELSS,15000,Investment
2024-12-26,HDFC Savings,Utilities,Internet,ACT broadband,799,Expense
2024-12-28,HDFC Savings,Transport,Cab,Uber rides,1100,Expense
2024-12-30,HDFC Savings,Groceries,Staples,Monthly provision store,3000,Expense
